asset_id,category,condition,status,useful_life_years,purchase_date,purchase_cost,expiry_date,work_orders_count,downtime_minutes,labor_hours,priority,risk_level,asset_age_years,useful_life_consumed_ratio,days_to_warranty_expiry,is_warranty_expired,avg_downtime_per_wo,avg_labor_per_wo,annual_maintenance_frequency
AST-1001,Laptop,Good,Active,10,2017-02-11,4650.48,2026-07-02,20,3573,21.65,Critical,High,9.55,0.96,-61,1,178.65,1.08,2.09
AST-1002,Server,Good,Active,5,2025-05-09,1702.17,2027-03-13,2,182,4.93,Medium,Low,1.31,0.26,193,0,91.0,2.46,1.53
AST-1003,Network_Switch,Fair,Active,3,2024-08-01,4606.14,2026-06-12,4,202,14.95,Medium,Low,2.08,0.69,-81,1,50.5,3.74,1.92
AST-1004,Workstation,Good,Active,5,2026-04-15,6856.17,2027-02-21,1,68,4.88,High,Low,0.38,0.08,173,0,68.0,4.88,2.63
AST-1005,Projector,Good,Active,7,2021-03-01,6945.31,2026-06-19,9,2135,36.8,Low,High,5.5,0.79,-74,1,237.22,4.09,1.64
AST-1006,Workstation,Good,Active,7,2020-03-11,5575.95,2026-10-19,11,476,24.68,Low,Medium,6.48,0.93,48,0,43.27,2.24,1.7
AST-1007,Network_Switch,Poor,Active,5,2020-11-20,3752.73,2026-06-19,7,1145,15.8,Medium,High,5.78,1.16,-74,1,163.57,2.26,1.21
AST-1008,Projector,Good,Active,5,2023-11-27,5764.41,2027-02-08,8,1596,36.67,Low,Medium,2.76,0.55,160,0,199.5,4.58,2.9
AST-1009,Workstation,Good,Active,5,2023-10-20,6207.9,2027-11-13,3,684,6.88,Medium,Low,2.87,0.57,438,0,228.0,2.29,1.05
AST-1010,Network_Switch,Poor,Active,5,2020-05-08,7233.38,2026-05-01,8,1264,24.09,Low,High,6.32,1.26,-123,1,158.0,3.01,1.27
AST-1011,Laptop,Poor,Active,10,2023-06-07,1428.75,2027-06-03,8,1643,18.26,Low,High,3.24,0.32,275,0,205.38,2.28,2.47
AST-1012,Workstation,Fair,Active,5,2022-03-20,517.77,2026-09-03,6,1345,27.06,Low,High,4.45,0.89,2,0,224.17,4.51,1.35
AST-1013,Lab_Equipment,Good,Under_Maintenance,7,2021-07-19,4160.52,2026-07-17,10,2186,34.26,Low,Medium,5.12,0.73,-46,1,218.6,3.43,1.95
AST-1014,Workstation,Good,Active,5,2026-06-22,1541.74,2027-06-29,0,0,0.0,Low,Low,0.19,0.04,301,0,0.0,0.0,0.0
AST-1015,Network_Switch,Fair,Active,5,2021-02-16,5069.05,2026-01-04,12,421,42.98,Low,High,5.54,1.11,-240,1,35.08,3.58,2.17
AST-1016,Projector,Critical,Active,10,2014-10-08,3028.13,2026-07-28,23,2550,101.3,Low,High,11.9,1.19,-35,1,110.87,4.4,1.93
AST-1017,Workstation,Fair,Active,5,2020-07-30,5341.81,2026-01-04,10,1855,37.88,Medium,High,6.09,1.22,-240,1,185.5,3.79,1.64
AST-1018,Laptop,Critical,Active,5,2021-05-19,6151.81,2025-09-16,10,1277,31.71,Low,High,5.29,1.06,-350,1,127.7,3.17,1.89
AST-1019,Lab_Equipment,Good,Active,3,2026-05-14,6240.46,2027-04-07,1,160,1.34,Low,Low,0.3,0.1,218,0,160.0,1.34,3.33
AST-1020,Lab_Equipment,Fair,Active,5,2022-06-20,5555.25,2026-11-25,4,928,17.38,Medium,Medium,4.2,0.84,85,0,232.0,4.34,0.95
AST-1021,Laptop,Fair,Active,3,2025-12-02,2176.72,2027-06-29,3,475,8.04,Low,Low,0.75,0.25,301,0,158.33,2.68,4.0
AST-1022,Laptop,Good,Under_Maintenance,7,2026-05-18,1224.12,2026-11-20,1,50,2.97,Medium,Low,0.29,0.04,80,0,50.0,2.97,3.45
AST-1023,Workstation,Good,Active,5,2023-12-25,4772.54,2027-08-06,5,824,5.53,Medium,Medium,2.69,0.54,339,0,164.8,1.11,1.86
AST-1024,Projector,Good,Under_Maintenance,5,2024-01-18,4967.35,2027-05-20,4,204,4.29,Low,Low,2.62,0.52,261,0,51.0,1.07,1.53
AST-1025,Lab_Equipment,Fair,Active,3,2025-04-25,6398.61,2026-11-10,3,553,12.64,Low,Medium,1.35,0.45,70,0,184.33,4.21,2.22
AST-1026,Workstation,Poor,Active,7,2019-04-20,7432.59,2026-03-03,16,3002,64.29,Low,High,7.37,1.05,-182,1,187.62,4.02,2.17
AST-1027,Projector,Poor,Active,5,2021-04-09,2672.35,2025-09-05,13,638,38.71,Low,High,5.4,1.08,-361,1,49.08,2.98,2.41
AST-1028,Lab_Equipment,Fair,Active,5,2020-11-19,2891.5,2026-06-20,7,334,34.63,Medium,High,5.78,1.16,-73,1,47.71,4.95,1.21
AST-1029,Laptop,Poor,Active,7,2018-01-17,7400.61,2025-10-28,16,1905,74.01,Low,High,8.62,1.23,-308,1,119.06,4.63,1.86
AST-1030,Laptop,Good,Active,3,2024-10-02,799.75,2026-06-25,4,849,7.58,Critical,Medium,1.91,0.64,-68,1,212.25,1.9,2.09
AST-1031,Workstation,Poor,Active,10,2025-12-13,6727.12,2027-06-20,4,501,14.04,Medium,Medium,0.72,0.07,292,0,125.25,3.51,5.56
AST-1032,Projector,Good,Active,3,2025-06-15,7147.92,2027-11-26,1,127,2.41,Medium,Low,1.21,0.4,451,0,127.0,2.41,0.83
AST-1033,Workstation,Poor,Under_Maintenance,10,2013-11-08,5356.95,2026-01-16,22,4868,94.38,High,High,12.81,1.28,-228,1,221.27,4.29,1.72
AST-1034,Network_Switch,Good,Active,5,2023-11-09,7022.37,2027-11-16,9,1054,18.84,Low,Medium,2.81,0.56,441,0,117.11,2.09,3.2
AST-1035,Server,Critical,Under_Maintenance,7,2017-07-30,7476.12,2026-01-09,18,2243,27.3,Critical,High,9.09,1.3,-235,1,124.61,1.52,1.98
AST-1036,Lab_Equipment,Good,Active,5,2022-04-02,4788.71,2026-08-07,9,1697,31.33,Medium,High,4.42,0.88,-25,1,188.56,3.48,2.04
AST-1037,Workstation,Good,Active,3,2026-06-14,2889.17,2027-07-17,1,137,4.13,Medium,Low,0.22,0.07,319,0,137.0,4.13,4.55
AST-1038,Lab_Equipment,Poor,Active,7,2018-01-10,1444.22,2025-08-25,13,2119,25.49,Low,High,8.64,1.23,-372,1,163.0,1.96,1.5
AST-1039,Workstation,Good,Active,3,2025-12-08,1385.67,2027-08-08,3,211,3.49,Low,Low,0.73,0.24,341,0,70.33,1.16,4.11
AST-1040,Laptop,Good,Active,3,2026-03-05,1256.51,2027-05-21,1,38,4.2,Medium,Low,0.49,0.16,262,0,38.0,4.2,2.04
AST-1041,Workstation,Critical,Active,7,2018-04-13,833.65,2026-04-22,9,970,26.44,Medium,High,8.39,1.2,-132,1,107.78,2.94,1.07
AST-1042,Laptop,Poor,Under_Maintenance,5,2021-10-09,660.45,2026-07-19,7,239,16.02,Low,High,4.9,0.98,-44,1,34.14,2.29,1.43
AST-1043,Laptop,Critical,Active,3,2023-03-07,4614.51,2025-11-24,5,447,12.26,Medium,High,3.49,1.16,-281,1,89.4,2.45,1.43
AST-1044,Lab_Equipment,Fair,Active,5,2020-04-04,4701.0,2026-05-07,7,484,14.98,Low,High,6.41,1.28,-117,1,69.14,2.14,1.09
AST-1045,Server,Good,Active,3,2024-07-18,3313.82,2026-11-26,7,1050,14.84,High,Medium,2.12,0.71,86,0,150.0,2.12,3.3
AST-1046,Workstation,Good,Active,5,2023-10-24,4004.03,2027-02-14,4,163,9.39,Low,Low,2.86,0.57,166,0,40.75,2.35,1.4
AST-1047,Workstation,Good,Active,10,2022-05-15,6150.11,2027-02-20,10,439,39.64,Medium,Low,4.3,0.43,172,0,43.9,3.96,2.33
AST-1048,Server,Fair,Under_Maintenance,3,2023-07-15,1831.55,2026-06-03,7,890,15.44,Medium,High,3.13,1.04,-90,1,127.14,2.21,2.24
AST-1049,Lab_Equipment,Critical,Active,5,2020-10-22,3125.63,2026-01-13,10,954,19.94,Medium,High,5.86,1.17,-231,1,95.4,1.99,1.71
AST-1050,Workstation,Poor,Active,5,2021-09-04,6625.04,2026-08-04,9,1295,18.06,Low,High,4.99,1.0,-28,1,143.89,2.01,1.8
AST-1051,Workstation,Poor,Active,10,2019-01-08,3246.05,2026-08-26,13,2059,13.94,High,High,7.65,0.76,-6,1,158.38,1.07,1.7
AST-1052,Projector,Good,Active,5,2022-02-03,6949.75,2026-10-08,9,2010,40.32,Medium,High,4.57,0.91,37,0,223.33,4.48,1.97
AST-1053,Lab_Equipment,Good,Active,5,2026-02-27,2779.9,2027-10-19,1,223,2.39,Low,Low,0.51,0.1,413,0,223.0,2.39,1.96
AST-1054,Network_Switch,Good,Active,5,2025-01-30,3612.32,2026-12-31,5,846,8.56,Critical,Medium,1.59,0.32,121,0,169.2,1.71,3.14
AST-1055,Workstation,Good,Active,5,2025-12-18,7477.81,2027-06-08,3,210,3.44,Medium,Low,0.7,0.14,280,0,70.0,1.15,4.29
AST-1056,Lab_Equipment,Poor,Active,3,2023-08-11,3618.35,2026-01-20,5,434,17.88,Medium,High,3.06,1.02,-224,1,86.8,3.58,1.63
AST-1057,Workstation,Fair,Active,3,2023-10-31,5078.36,2026-06-08,2,395,3.43,Medium,Medium,2.84,0.95,-85,1,197.5,1.72,0.7
AST-1058,Workstation,Fair,Active,3,2025-08-06,5528.1,2027-11-11,2,436,2.1,Low,Low,1.07,0.36,436,0,218.0,1.05,1.87
AST-1059,Workstation,Fair,Under_Maintenance,3,2025-10-29,4539.6,2027-05-04,1,109,3.36,Low,Low,0.84,0.28,245,0,109.0,3.36,1.19
AST-1060,Lab_Equipment,Poor,Active,5,2023-01-04,3496.5,2026-07-27,6,518,19.0,Medium,High,3.66,0.73,-36,1,86.33,3.17,1.64
AST-1061,Laptop,Fair,Active,3,2023-05-22,7389.26,2026-01-20,2,302,4.19,Medium,Medium,3.28,1.09,-224,1,151.0,2.1,0.61
